group2	family2	genus2	group	family	genus	taxa	ID	DIN	shortcode	level	gt	sens	exp	refu	SPEAR
Araneae Gen. sp.	Araneae Gen. sp.	Araneae Gen. sp.	Araneae	Araneae	Araneae	Araneae Gen. sp.	10627	1196	arangesp	group	NA	NA	NA	NA	NA
Bivalvia Gen. sp.	Bivalvia Gen. sp.	Bivalvia Gen. sp.	Bivalvia	Bivalvia	Bivalvia	Bivalvia Gen. sp.	8706	NA	bivagen.	group	1	-2.09	1	1	0
Bivalvia Gen. sp.	Cardiidae Gen. sp.	Cardiidae Gen. sp.	Bivalvia	Cardiidae	Cardiidae	Cardiidae Gen. sp.	16950	NA	cardgesp	family	1	-2.09	1	1	0
Bivalvia Gen. sp.	Cardiidae Gen. sp.	Parvicardium sp.	Bivalvia	Cardiidae	Parvicardium	Parvicardium sp.	16947	NA	parvicsp	genus	1	-2.09	1	1	0
Bivalvia Gen. sp.	Corbiculidae Gen. sp.	Corbicula sp.	Bivalvia	Corbiculidae	Corbicula	Corbicula sp.	11178	1563	corbsp.	genus	1	-2.09	1	1	0
Bivalvia Gen. sp.	Corbiculidae Gen. sp.	Corbiculidae Gen. sp.	Bivalvia	Corbiculidae	Corbiculidae	Corbiculidae Gen. sp.	10616	NA	corbgen.	family	1	-2.09	1	1	0
Bivalvia Gen. sp.	Dreissenidae Gen. sp.	Congeria sp.	Bivalvia	Dreissenidae	Congeria	Congeria sp.	11586	NA	congsp.	genus	1	-2.09	1	1	0
Bivalvia Gen. sp.	Dreissenidae Gen. sp.	Dreissena sp.	Bivalvia	Dreissenidae	Dreissena	Dreissena sp.	8965	1910	dreisp.	genus	1	-2.09	1	1	0
Bivalvia Gen. sp.	Dreissenidae Gen. sp.	Dreissenidae Gen. sp.	Bivalvia	Dreissenidae	Dreissenidae	Dreissenidae Gen. sp.	9620	NA	dreigen.	family	1	-2.09	1	1	0
Bivalvia Gen. sp.	Margaritiferidae Gen. sp.	Margaritifera sp.	Bivalvia	Margaritiferidae	Margaritifera	Margaritifera sp.	9082	NA	margsp.	genus	1	-2.09	1	1	0
Bivalvia Gen. sp.	Margaritiferidae Gen. sp.	Margaritiferidae Gen. sp.	Bivalvia	Margaritiferidae	Margaritiferidae	Margaritiferidae Gen. sp.	13447	NA	marggen.	family	1	-2.09	1	1	0
Bivalvia Gen. sp.	Margaritiferidae Gen. sp.	Pseudunio sp.	Bivalvia	Margaritiferidae	Pseudunio	Pseudunio sp.	16956	NA	pseudusp	genus	1	-2.09	1	1	0
Bivalvia Gen. sp.	Myidae Gen. sp.	Arenomya sp.	Bivalvia	Myidae	Arenomya	Arenomya sp.	21258	NA	arenomsp	genus	1	-2.09	1	1	0
Bivalvia Gen. sp.	Myidae Gen. sp.	Myidae Gen. sp.	Bivalvia	Myidae	Myidae	Myidae Gen. sp.	21259	NA	myacgesp	family	1	-2.09	1	1	0
Bivalvia Gen. sp.	Mytilidae Gen. sp.	Mytilidae Gen. sp.	Bivalvia	Mytilidae	Mytilidae	Mytilidae Gen. sp.	20476	NA	mytilgen	family	1	-2.09	1	1	0
Bivalvia Gen. sp.	Mytilidae Gen. sp.	Mytilus sp.	Bivalvia	Mytilidae	Mytilus	Mytilus sp.	20477	NA	mytilusp	genus	1	-2.09	1	1	0
Bivalvia Gen. sp.	Sphaeriidae Gen. sp.	Musculium sp.	Bivalvia	Sphaeriidae	Musculium	Musculium sp.	9095	1577	muscsp.	genus	1	-2.09	1	1	0
Bivalvia Gen. sp.	Sphaeriidae Gen. sp.	Pisidium sp.	Bivalvia	Sphaeriidae	Pisidium	Pisidium sp.	6425	1037	casesp.	genus	1	-2.09	1	1	0
Bivalvia Gen. sp.	Sphaeriidae Gen. sp.	Sphaeriidae Gen. sp.	Bivalvia	Sphaeriidae	Sphaeriidae	Sphaeriidae Gen. sp.	8429	1944	sphagen.	family	1	-2.09	1	1	0
Bivalvia Gen. sp.	Sphaeriidae Gen. sp.	Sphaerium sp.	Bivalvia	Sphaeriidae	Sphaerium	Sphaerium sp.	6886	1115	sphiumsp	genus	1	-2.09	1	1	0
Bivalvia Gen. sp.	Tellinidae Gen. sp.	Macoma sp.	Bivalvia	Tellinidae	Macoma	Macoma sp.	20500	NA	macomasp	genus	1	-2.09	1	1	0
Bivalvia Gen. sp.	Tellinidae Gen. sp.	Tellinidae Gen. sp.	Bivalvia	Tellinidae	Tellinidae	Tellinidae Gen. sp.	20502	NA	telligen	family	1	-2.09	1	1	0
Bivalvia Gen. sp.	Unionidae Gen. sp.	Anodonta sp.	Bivalvia	Unionidae	Anodonta	Anodonta sp.	4326	1031	anodsp.	genus	1	-2.09	1	1	0
Bivalvia Gen. sp.	Unionidae Gen. sp.	Anodonta/Pseudanodonta sp.	Bivalvia	Unionidae	Anodonta/Pseudanodonta	Anodonta/Pseudanodonta sp.	20077	NA	anopsesp	genus	1	-2.09	1	1	0
Bivalvia Gen. sp.	Unionidae Gen. sp.	Microcondylaea sp.	Bivalvia	Unionidae	Microcondylaea	Microcondylaea sp.	21988	NA	microcsp	genus	1	-2.09	1	1	0
Bivalvia Gen. sp.	Unionidae Gen. sp.	Potomida sp.	Bivalvia	Unionidae	Potomida	Potomida sp.	16957	NA	potomisp	genus	1	-2.09	1	1	0
Bivalvia Gen. sp.	Unionidae Gen. sp.	Pseudanodonta sp.	Bivalvia	Unionidae	Pseudanodonta	Pseudanodonta sp.	9169	NA	pseudasp	genus	1	-2.09	1	1	0
Bivalvia Gen. sp.	Unionidae Gen. sp.	Sinanodonta sp.	Bivalvia	Unionidae	Sinanodonta	Sinanodonta sp.	9189	NA	sinasp.	genus	1	-2.09	1	1	0
Bivalvia Gen. sp.	Unionidae Gen. sp.	Unio sp.	Bivalvia	Unionidae	Unio	Unio sp.	7138	1068	uniosp.	genus	1	-2.09	1	1	0
Bivalvia Gen. sp.	Unionidae Gen. sp.	Unionidae Gen. sp.	Bivalvia	Unionidae	Unionidae	Unionidae Gen. sp.	8452	1565	uniogen.	family	1	-2.09	1	1	0
Bivalvia Gen. sp.	Veneridae Gen. sp.	Chamelea sp.	Bivalvia	Veneridae	Chamelea	Chamelea sp.	16948	NA	chamelsp	genus	1	-2.09	1	1	0
Bivalvia Gen. sp.	Veneridae Gen. sp.	Veneridae Gen. sp.	Bivalvia	Veneridae	Verneridae	Veneridae Gen. sp.	16951	NA	verngesp	family	1	-2.09	1	1	0
Branchiobdellida Gen. sp.	Branchiobdellida Gen. sp.	Branchiobdellida Gen. sp.	Branchiobdellida	Branchiobdellida	Branchiobdellida	Branchiobdellida Gen. sp.	20000002	NA	NA	group	NA	NA	1	1	NA
Bryozoa Gen. sp.	Bryozoa Gen. sp.	Bryozoa Gen. sp.	Bryozoa	Bryozoa	Bryozoa	Bryozoa Gen. sp.	8851	1113	bryogen.	group	NA	NA	1	1	NA
Cestoda Gen. sp.	Cestoda Gen. sp.	Cestoda Gen. sp.	Cestoda	Cestoda	Cestoda	Cestoda Gen. sp.	16791	1986	cestgesp	group	NA	NA	1	1	NA
Coelenterata Gen. sp.	Coelenterata Gen. sp.	Coelenterata Gen. sp.	Coelenterata	Coelenterata	Coelenterata	Coelenterata Gen. sp.	10632	NA	coelgesp	group	NA	NA	1	1	NA
Coleoptera Gen. sp.	Apionidae Gen. sp.	Apionidae Gen. sp.	Coleoptera	Apionidae	Apionidae	Apionidae Gen. sp.	17509	NA	apiogen1	family	1	-1.15	1	1	0
Coleoptera Gen. sp.	Chrysomelidae Gen. sp.	Chrysomelidae Gen. sp.	Coleoptera	Chrysomelidae	Chrysomelidae	Chrysomelidae Gen. sp.	17633	20751	chrygen1	family	1	-1.15	1	1	0
Coleoptera Gen. sp.	Clambidae Gen. sp.	Clambidae Gen. sp.	Coleoptera	Clambidae	Clambidae	Clambidae Gen. sp.	17639	NA	clamgen1	family	1	-1.15	1	1	0
Coleoptera Gen. sp.	Coleoptera Gen. sp.	Coleoptera Gen. sp.	Coleoptera	Coleoptera	Coleoptera	Coleoptera Gen. sp.	17645	792	colegen1	group	1	-1.15	1	1	0
Coleoptera Gen. sp.	Curculionidae Gen. sp.	Curculionidae Gen. sp.	Coleoptera	Curculionidae	Curculionidae	Curculionidae Gen. sp.	17662	20979	curcgen1	family	1	-1.15	1	1	0
Coleoptera Gen. sp.	Dryopidae Gen. sp.	Dryopidae Gen. sp.	Coleoptera	Dryopidae	Dryopidae	Dryopidae Gen. sp.	17734	383	dryogen1	family	2	-1.15	0	1	0
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Dytiscidae Gen. sp.	Coleoptera	Dytiscidae	Dytiscidae	Dytiscidae Gen. sp.	17756	384	dytigen1	family	1	-0.81	0	1	0
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Dytiscidae (incl. Noteridae) Gen. sp.	Coleoptera	Dytiscidae	Dytiscidae (incl. Noteridae)	Dytiscidae (incl. Noteridae) Gen. sp.	20165	NA	dynogesp	family	1	-0.81	0	1	0
Coleoptera Gen. sp.	Elmidae Gen. sp.	Elmidae Gen. sp.	Coleoptera	Elmidae	Elmidae	Elmidae Gen. sp.	17767	326	elmigen1	family	2	-1.15	1	1	0
Coleoptera Gen. sp.	Georissidae Gen. sp.	Georissidae Gen. sp.	Coleoptera	Georissidae	Georissidae	Georissidae Gen. sp.	17831	NA	georgen1	family	1	-1.15	1	1	0
Coleoptera Gen. sp.	Gyrinidae Gen. sp.	Gyrinidae Gen. sp.	Coleoptera	Gyrinidae	Gyrinidae	Gyrinidae Gen. sp.	17861	320	gyrigen1	family	1	-1.15	0	1	0
Coleoptera Gen. sp.	Haliplidae Gen. sp.	Haliplidae Gen. sp.	Coleoptera	Haliplidae	Haliplidae	Haliplidae Gen. sp.	17878	366	haligen1	family	1	-1.83	1	1	0
Coleoptera Gen. sp.	Helophoridae Gen. sp.	Helophoridae Gen. sp.	Coleoptera	Helophoridae	Helophoridae	Helophoridae Gen. sp.	17911	NA	helogen1	family	1	-0.89	1	1	0
Coleoptera Gen. sp.	Heteroceridae Gen. sp.	Heteroceridae Gen. sp.	Coleoptera	Heteroceridae	Heteroceridae	Heteroceridae Gen. sp.	17987	20532	hetegen1	family	1	-1.15	1	1	0
Coleoptera Gen. sp.	Hydraenidae Gen. sp.	Hydraenidae Gen. sp.	Coleoptera	Hydraenidae	Hydraenidae	Hydraenidae Gen. sp.	18153	20748	hydrgen1	family	1	-1.15	1	1	0
Coleoptera Gen. sp.	Hydrochidae Gen. sp.	Hydrochidae Gen. sp.	Coleoptera	Hydrochidae	Hydrochidae	Hydrochidae Gen. sp.	18163	NA	hydgesp1	family	1	-0.89	1	1	0
Coleoptera Gen. sp.	Hydrophilidae Gen. sp.	Hydrophilidae Gen. sp.	Coleoptera	Hydrophilidae	Hydrophilidae	Hydrophilidae Gen. sp.	18186	888	hydaegen	family	1	-0.89	1	1	0
Coleoptera Gen. sp.	Hydrophilidae Gen. sp.	Hydrophilidae (incl. Hydraenidae) Gen. sp.	Coleoptera	Hydrophilidae	Hydrophilidae (incl. Hydraenidae)	Hydrophilidae (incl. Hydraenidae) Gen. sp.	20166	NA	hyhygesp	family	1	-0.89	1	1	0
Coleoptera Gen. sp.	Hydroscaphidae Gen. sp.	Hydroscaphidae Gen. sp.	Coleoptera	Hydroscaphidae	Hydroscaphidae	Hydroscaphidae Gen. sp.	19818	NA	hyscgen1	family	1	-1.15	1	1	0
Coleoptera Gen. sp.	Hygrobiidae Gen. sp.	Hygrobiidae Gen. sp.	Coleoptera	Hygrobiidae	Hygrobiidae	Hygrobiidae Gen. sp.	18268	NA	hygrgen1	family	1	-1.15	1	1	0
Coleoptera Gen. sp.	Limnichidae Gen. sp.	Limnichidae Gen. sp.	Coleoptera	Limnichidae	Limnichidae	Limnichidae Gen. sp.	18410	20750	limngen1	family	1	-1.15	1	1	0
Coleoptera Gen. sp.	Microsporidae Gen. sp.	Microsporidae Gen. sp.	Coleoptera	Microsporidae	Microsporidae	Microsporidae Gen. sp.	19823	NA	micrgen1	family	1	-1.15	1	1	0
Coleoptera Gen. sp.	Noteridae Gen. sp.	Noteridae Gen. sp.	Coleoptera	Noteridae	Noteridae	Noteridae Gen. sp.	18487	NA	notegen1	family	1	-1.15	1	1	0
Coleoptera Gen. sp.	Psephenidae Gen. sp.	Psephenidae Gen. sp.	Coleoptera	Psephenidae	Psephenidae	Psephenidae Gen. sp.	18671	NA	psepgen1	family	1	-1.15	1	1	0
Coleoptera Gen. sp.	Scirtidae Gen. sp.	Scirtidae Gen. sp.	Coleoptera	Scirtidae	Scirtidae	Scirtidae Gen. sp.	18707	20169	scirgen1	family	1	-1.15	1	1	0
Coleoptera Gen. sp.	Spercheidae Gen. sp.	Spercheidae Gen. sp.	Coleoptera	Spercheidae	Spercheidae	Spercheidae Gen. sp.	18711	NA	spergen1	family	1	-0.89	1	1	0
Coleoptera Gen. sp.	Sphaeriusidae Gen. sp.	Sphaeriusidae Gen. sp.	Coleoptera	Sphaeriusidae	Sphaeriusidae	Sphaeriusidae Gen. sp.	18721	NA	sphgesp1	family	1	-1.15	1	1	0
Collembola Gen. sp.	Collembola Gen. sp.	Collembola Gen. sp.	Collembola	Collembola	Collembola	Collembola Gen. sp.	16833	10138	collgen.	group	NA	NA	1	1	NA
Crustacea Gen. sp.	Asellidae Gen. sp.	Asellidae Gen. sp.	Crustacea	Asellidae	Asellidae	Asellidae Gen. sp.	10663	1571	aselgen.	family	0.5	-0.46	1	1	0
Crustacea Gen. sp.	Asellidae Gen. sp.	Asellus sp.	Crustacea	Asellidae	Asellus	Asellus aquaticus	8691	1004	aselaqua	species	0.33	-0.17	1	1	0
Crustacea Gen. sp.	Crustacea Gen. sp.	Crustacea Gen. sp.	Crustacea	Crustacea	Crustacea	Crustacea Gen. sp.	16810	NA	crustgen	group	NA	NA	NA	NA	NA
Crustacea Gen. sp.	Gammaridae Gen. sp.	Gammaridae Gen. sp.	Crustacea	Gammaridae	Gammaridae	Gammaridae Gen. sp.	10323	NA	gammgen.	family	0.58	0.16	0	1	0
Crustacea Gen. sp.	Gammaridae Gen. sp.	Gammarus sp.	Crustacea	Gammaridae	Gammarus	Gammarus fossarum	5288	1001	gammfoss	species	0.75	0.16	0	1	0
Crustacea Gen. sp.	Gammaridae Gen. sp.	Gammarus sp.	Crustacea	Gammaridae	Gammarus	Gammarus lacustris	5290	1261	gammlacu	species	1	0.32	0	1	0
Crustacea Gen. sp.	Gammaridae Gen. sp.	Gammarus sp.	Crustacea	Gammaridae	Gammarus	Gammarus pulex	5291	1002	gammpule	species	0.75	0.04	0	1	0
Crustacea Gen. sp.	Gammaridae Gen. sp.	Gammarus sp.	Crustacea	Gammaridae	Gammarus	Gammarus roeselii	5292	1003	gammroes	species	0.75	0.16	0	1	0
Diptera Gen. sp.	Athericidae Gen. sp.	Athericidae Gen. sp.	Diptera	Athericidae	Athericidae	Athericidae Gen. sp.	7750	10386	athegen.	family	0.62	-0.35	1	1	1
Diptera Gen. sp.	Ceratopogonidae Gen. sp.	Ceratopogonidae Gen. sp.	Diptera	Ceratopogonidae	Ceratopogonidae	Ceratopogonidae Gen. sp.	4585	493	ceragen.	family	0.33	-0.35	1	1	0
Diptera Gen. sp.	Chaoboridae Gen. sp.	Chaoboridae Gen. sp.	Diptera	Chaoboridae	Chaoboridae	Chaoboridae Gen. sp.	4630	10206	chaogen.	family	0.5	-0.35	1	1	1
Diptera Gen. sp.	Chironomidae Gen. sp.	Chironomidae Gen. sp.	Diptera	Chironomidae	Chironomidae	Chironomidae Gen. sp.	4642	911	chidaege	family	0.42	-0.39	0	1	0
Diptera Gen. sp.	Diptera Gen. sp.	Diptera Gen. sp.	Diptera	Diptera	Diptera	Diptera Gen. sp.	9353	20953	diptgen.	group	NA	NA	NA	NA	NA
Diptera Gen. sp.	Dixidae Gen. sp.	Dixidae Gen. sp.	Diptera	Dixidae	Dixidae	Dixidae Gen. sp.	4990	706	dixigen.	family	0.5	-0.35	1	1	1
Diptera Gen. sp.	Dolichopodidae Gen. sp.	Dolichopodidae Gen. sp.	Diptera	Dolichopodidae	Dolichopodidae	Dolichopodidae Gen. sp.	8427	556	doldaege	family	1	-0.35	0	1	0
Diptera Gen. sp.	Empididae Gen. sp.	Empididae Gen. sp.	Diptera	Empididae	Empididae	Empididae Gen. sp.	5097	10360	empidige	family	0.5	-0.35	0	1	0
Diptera Gen. sp.	Limoniidae Gen. sp.	Limoniidae Gen. sp.	Diptera	Limoniidae	Limoniidae	Limoniidae Gen. sp.	8483	120	limdaege	family	1	-0.35	0	1	0
Diptera Gen. sp.	Muscidae Gen. sp.	Muscidae Gen. sp.	Diptera	Muscidae	Muscidae	Muscidae Gen. sp.	8659	20966	muscgen.	family	0.5	-0.35	0	1	0
Diptera Gen. sp.	Psychodidae Gen. sp.	Psychodidae Gen. sp.	Diptera	Psychodidae	Psychodidae	Psychodidae Gen. sp.	8753	121	psydidge	family	0.25	-0.35	0	1	0
Diptera Gen. sp.	Ptychopteridae Gen. sp.	Ptychopteridae Gen. sp.	Diptera	Ptychopteridae	Ptychopteridae	Ptychopteridae Gen. sp.	9319	20049	ptycgen.	family	0.75	-0.35	0	1	0
Diptera Gen. sp.	Rhagionidae Gen. sp.	Rhagionidae Gen. sp.	Diptera	Rhagionidae	Rhagionidae	Rhagionidae Gen. sp.	9321	90819	rhaggen.	family	0.5	-0.35	0	1	0
Diptera Gen. sp.	Simuliidae Gen. sp.	Simuliidae Gen. sp.	Diptera	Simuliidae	Simuliidae	Simuliidae Gen. sp.	6842	13	simugen.	family	0.38	-0.46	1	1	0
Diptera Gen. sp.	Stratiomyiidae Gen. sp.	Stratiomyiidae Gen. sp.	Diptera	Stratiomyiidae	Stratiomyiidae	Stratiomyiidae Gen. sp.	8761	555	stragen.	family	0.33	-0.35	1	1	0
Diptera Gen. sp.	Syrphidae Gen. sp.	Syrphidae Gen. sp.	Diptera	Syrphidae	Syrphidae	Syrphidae Gen. sp.	9322	20050	syrpgen.	family	0.25	-0.35	1	1	0
Diptera Gen. sp.	Tabanidae Gen. sp.	Tabanidae Gen. sp.	Diptera	Tabanidae	Tabanidae	Tabanidae Gen. sp.	8485	122	tabagen.	family	0.75	-0.35	0	0	0
Diptera Gen. sp.	Tipulidae Gen. sp.	Tipulidae Gen. sp.	Diptera	Tipulidae	Tipulidae	Tipulidae Gen. sp.	8487	123	tipdaege	family	0.5	-0.35	0	1	0
Entoprocta Gen. sp.	Entoprocta Gen. sp.	Entoprocta Gen. sp.	Entoprocta	Entoprocta	Entoprocta	Entoprocta Gen. sp.	20000001	NA	NA	group	NA	NA	1	1	NA
Ephemeroptera Gen. sp.	Ameletidae Gen. sp.	Ameletidae Gen. sp.	Ephemeroptera	Ameletidae	Ameletidae	Ameletidae Gen. sp.	14627	NA	amelgen.	family	1	-0.3	1	1	1
