group2	family2	genus2	group	family	genus	subspecies	stage	taxa	ID	DIN	shortcode	levelAQEM	LINK	LINK_ID	levelLINK
Araneae Gen. sp.	Araneae Gen. sp.	Araneae Gen. sp.	Araneae	Araneae	Araneae	NA	NA	Araneae Gen. sp.	10627	1196	arangesp	group	Araneae Gen. sp.	10627	group
Araneae Gen. sp.	Cybaeidae Gen. sp.	Argyroneta sp.	Araneae	Cybaeidae	Argyroneta	NA	NA	Argyroneta aquatica	4349	1137	argyaqua	species	Araneae Gen. sp.	10627	group
Araneae Gen. sp.	Cybaeidae Gen. sp.	Argyroneta sp.	Araneae	Cybaeidae	Argyroneta	NA	NA	Argyroneta sp.	9412	NA	argyrosp	genus	Araneae Gen. sp.	10627	group
Araneae Gen. sp.	Cybaeidae Gen. sp.	Argyronetinae Gen. sp.	Araneae	Cybaeidae	Argyronetinae	NA	NA	Argyronetinae Gen. sp.	9411	NA	argygen.	genus	Araneae Gen. sp.	10627	group
Araneae Gen. sp.	Cybaeidae Gen. sp.	Cybaeidae Gen. sp.	Araneae	Cybaeidae	Cybaeidae	NA	NA	Cybaeidae Gen. sp.	20758	NA	cybaegen	family	Araneae Gen. sp.	10627	group
Araneae Gen. sp.	Lycosidae Gen. sp.	Lycosidae Gen. sp.	Araneae	Lycosidae	Lycosidae	NA	NA	Lycosidae Gen. sp.	20000003	NA	NA	family	Araneae Gen. sp.	10627	group
Araneae Gen. sp.	Lycosidae Gen. sp.	Pirata sp.	Araneae	Lycosidae	Pirata	NA	NA	Pirata piraticus	10000917	NA	NA	species	Araneae Gen. sp.	10627	group
Araneae Gen. sp.	Lycosidae Gen. sp.	Pirata sp.	Araneae	Lycosidae	Pirata	NA	NA	Pirata sp.	20000008	NA	NA	genus	Araneae Gen. sp.	10627	group
Bivalvia Gen. sp.	Bivalvia Gen. sp.	Bivalvia Gen. sp.	Bivalvia	Bivalvia	Bivalvia	NA	NA	Bivalvia Gen. sp.	8706	NA	bivagen.	group	Bivalvia Gen. sp.	8706	group
Bivalvia Gen. sp.	Cardiidae Gen. sp.	Cardiidae Gen. sp.	Bivalvia	Cardiidae	Cardiidae	NA	NA	Cardiidae Gen. sp.	16950	NA	cardgesp	family	Cardiidae Gen. sp.	16950	family
Bivalvia Gen. sp.	Cardiidae Gen. sp.	Parvicardium sp.	Bivalvia	Cardiidae	Parvicardium	NA	NA	Parvicardium exiguum	16942	NA	parvexig	species	Parvicardium sp.	16947	genus
Bivalvia Gen. sp.	Cardiidae Gen. sp.	Parvicardium sp.	Bivalvia	Cardiidae	Parvicardium	NA	NA	Parvicardium sp.	16947	NA	parvicsp	genus	Parvicardium sp.	16947	genus
Bivalvia Gen. sp.	Corbiculidae Gen. sp.	Corbicula sp.	Bivalvia	Corbiculidae	Corbicula	NA	NA	Corbicula fluminalis	11177	1175	corbflus	species	Corbicula sp.	11178	genus
Bivalvia Gen. sp.	Corbiculidae Gen. sp.	Corbicula sp.	Bivalvia	Corbiculidae	Corbicula	NA	NA	Corbicula fluminea	11176	1300	corbflua	species	Corbicula sp.	11178	genus
Bivalvia Gen. sp.	Corbiculidae Gen. sp.	Corbicula sp.	Bivalvia	Corbiculidae	Corbicula	NA	NA	Corbicula sp.	11178	1563	corbsp.	genus	Corbicula sp.	11178	genus
Bivalvia Gen. sp.	Corbiculidae Gen. sp.	Corbiculidae Gen. sp.	Bivalvia	Corbiculidae	Corbiculidae	NA	NA	Corbiculidae Gen. sp.	10616	NA	corbgen.	family	Corbiculidae Gen. sp.	10616	family
Bivalvia Gen. sp.	Dreissenidae Gen. sp.	Congeria sp.	Bivalvia	Dreissenidae	Congeria	NA	NA	Congeria kusceri	21963	NA	congkusc	species	Congeria sp.	11586	genus
Bivalvia Gen. sp.	Dreissenidae Gen. sp.	Congeria sp.	Bivalvia	Dreissenidae	Congeria	NA	NA	Congeria leucophaeata	11585	1402	congleuc	species	Congeria sp.	11586	genus
Bivalvia Gen. sp.	Dreissenidae Gen. sp.	Congeria sp.	Bivalvia	Dreissenidae	Congeria	NA	NA	Congeria sp.	11586	NA	congsp.	genus	Congeria sp.	11586	genus
Bivalvia Gen. sp.	Dreissenidae Gen. sp.	Dreissena sp.	Bivalvia	Dreissenidae	Dreissena	NA	NA	Dreissena polymorpha	4999	1097	dreipoly	species	Dreissena sp.	8965	genus
Bivalvia Gen. sp.	Dreissenidae Gen. sp.	Dreissena sp.	Bivalvia	Dreissenidae	Dreissena	NA	NA	Dreissena rostriformis	22042	1586	dreirost	species	Dreissena sp.	8965	genus
Bivalvia Gen. sp.	Dreissenidae Gen. sp.	Dreissena sp.	Bivalvia	Dreissenidae	Dreissena	NA	NA	Dreissena sp.	8965	1910	dreisp.	genus	Dreissena sp.	8965	genus
Bivalvia Gen. sp.	Dreissenidae Gen. sp.	Dreissenidae Gen. sp.	Bivalvia	Dreissenidae	Dreissenidae	NA	NA	Dreissenidae Gen. sp.	9620	NA	dreigen.	family	Dreissenidae Gen. sp.	9620	family
Bivalvia Gen. sp.	Margaritiferidae Gen. sp.	Margaritifera sp.	Bivalvia	Margaritiferidae	Margaritifera	NA	NA	Margaritifera margaritifera	5943	1130	margmarg	species	Margaritifera sp.	9082	genus
Bivalvia Gen. sp.	Margaritiferidae Gen. sp.	Margaritifera sp.	Bivalvia	Margaritiferidae	Margaritifera	NA	NA	Margaritifera sp.	9082	NA	margsp.	genus	Margaritifera sp.	9082	genus
Bivalvia Gen. sp.	Margaritiferidae Gen. sp.	Margaritiferidae Gen. sp.	Bivalvia	Margaritiferidae	Margaritiferidae	NA	NA	Margaritiferidae Gen. sp.	13447	NA	marggen.	family	Margaritiferidae Gen. sp.	13447	family
Bivalvia Gen. sp.	Margaritiferidae Gen. sp.	Pseudunio sp.	Bivalvia	Margaritiferidae	Pseudunio	NA	NA	Pseudunio auricularius	6653	NA	pseuauri	species	Pseudunio sp.	16956	genus
Bivalvia Gen. sp.	Margaritiferidae Gen. sp.	Pseudunio sp.	Bivalvia	Margaritiferidae	Pseudunio	NA	NA	Pseudunio sp.	16956	NA	pseudusp	genus	Pseudunio sp.	16956	genus
Bivalvia Gen. sp.	Myidae Gen. sp.	Arenomya sp.	Bivalvia	Myidae	Arenomya	NA	NA	Arenomya arenaria	21253	1919	arenaren	species	Arenomya sp.	21258	genus
Bivalvia Gen. sp.	Myidae Gen. sp.	Arenomya sp.	Bivalvia	Myidae	Arenomya	NA	NA	Arenomya sp.	21258	NA	arenomsp	genus	Arenomya sp.	21258	genus
Bivalvia Gen. sp.	Myidae Gen. sp.	Myidae Gen. sp.	Bivalvia	Myidae	Myidae	NA	NA	Myidae Gen. sp.	21259	NA	myacgesp	family	Myidae Gen. sp.	21259	family
Bivalvia Gen. sp.	Mytilidae Gen. sp.	Mytilidae Gen. sp.	Bivalvia	Mytilidae	Mytilidae	NA	NA	Mytilidae Gen. sp.	20476	NA	mytilgen	family	Mytilidae Gen. sp.	20476	family
Bivalvia Gen. sp.	Mytilidae Gen. sp.	Mytilus sp.	Bivalvia	Mytilidae	Mytilus	NA	NA	Mytilus edulis	20478	1348	mytiedul	species	Mytilus sp.	20477	genus
